,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
472,SRR22047533,12/31/22 0:27,10/26/22 17:18,2034934,402631123,2034934,197,255,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047533/SRR22047533.lite.1,SRX18028508,GSM6683074,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535605,SAMN31460795,simple,9606,Homo sapiens,GSM6683074,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,3B78B92EB1B3E13D4FC385D6C6B1EA96,AE9B64069D9CBBDBCD3445BC8F0A274B,"HCT116, extracted nuclei, cell 047",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 047",GPL28038,DNBSEQ-G400
473,SRR22047534,12/31/22 0:27,10/26/22 17:18,1696301,335617060,1696301,197,213,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047534/SRR22047534.lite.1,SRX18028507,GSM6683073,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535606,SAMN31460796,simple,9606,Homo sapiens,GSM6683073,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,483BF77363BE0600801D29402AE4E393,A30A146877BC510168E6B917FF5B8F37,"HCT116, extracted nuclei, cell 046",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 046",GPL28038,DNBSEQ-G400
474,SRR22047532,12/31/22 0:27,10/26/22 17:15,2190024,433296836,2190024,197,274,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047532/SRR22047532.lite.1,SRX18028509,GSM6683075,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535608,SAMN31460794,simple,9606,Homo sapiens,GSM6683075,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,83F9C33133AF17E45D9C895AEBBE7006,838880B0CBC29B3AAB210D931A898981,"HCT116, extracted nuclei, cell 048",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 048",GPL28038,DNBSEQ-G400
475,SRR22047531,12/31/22 0:27,10/26/22 17:12,1489718,294741832,1489718,197,189,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047531/SRR22047531.lite.1,SRX18028510,GSM6683076,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535607,SAMN31460793,simple,9606,Homo sapiens,GSM6683076,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,D9DE7D1AE031D7F973F097B308953474,36B962452E817BE394DCE9DDC7A31865,"HCT116, extracted nuclei, cell 049",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 049",GPL28038,DNBSEQ-G400
476,SRR22047530,12/31/22 0:27,10/26/22 17:16,748287,148039187,748287,197,94,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047530/SRR22047530.lite.1,SRX18028511,GSM6683077,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535609,SAMN31460792,simple,9606,Homo sapiens,GSM6683077,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,67C2DBC29B4C1E0F6F18D0770C3B27A5,3047472E1B3F4F7D5E90C9F19CE8DA90,"HCT116, extracted nuclei, cell 050",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 050",GPL28038,DNBSEQ-G400
477,SRR22047529,12/31/22 0:27,10/26/22 17:12,795016,157289555,795016,197,100,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047529/SRR22047529.lite.1,SRX18028512,GSM6683078,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535610,SAMN31460791,simple,9606,Homo sapiens,GSM6683078,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,7CDDBE74E372AADBB015C56470FAD305,6153FDD2913B6142F721C43AB42284A9,"HCT116, extracted nuclei, cell 051",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 051",GPL28038,DNBSEQ-G400
478,SRR22047528,12/31/22 0:27,10/26/22 17:16,807599,159777310,807599,197,100,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047528/SRR22047528.lite.1,SRX18028513,GSM6683079,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535611,SAMN31460790,simple,9606,Homo sapiens,GSM6683079,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,270D2E8E9D329245FA0A235D83EA6E95,D8484BB26AA82A987A11329977E3DC1C,"HCT116, extracted nuclei, cell 052",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 052",GPL28038,DNBSEQ-G400
479,SRR22047527,12/31/22 0:27,10/26/22 17:17,1158864,229277182,1158864,197,146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047527/SRR22047527.lite.1,SRX18028514,GSM6683080,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535612,SAMN31460789,simple,9606,Homo sapiens,GSM6683080,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,237561DD535C7550800E1407C0BF6C75,A3BF963DC956DEBF80590B3F69FCF8EA,"HCT116, extracted nuclei, cell 053",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 053",GPL28038,DNBSEQ-G400
480,SRR22047526,12/31/22 0:27,10/26/22 17:17,1147356,226995073,1147356,197,145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047526/SRR22047526.lite.1,SRX18028515,GSM6683081,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535613,SAMN31460788,simple,9606,Homo sapiens,GSM6683081,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,1020C878C409CF532D801BDC0D854936,925201217D1D815C10A49263B3B1244F,"HCT116, extracted nuclei, cell 054",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 054",GPL28038,DNBSEQ-G400
481,SRR22047525,12/31/22 0:27,10/26/22 17:13,1629897,322477291,1629897,197,207,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047525/SRR22047525.lite.1,SRX18028516,GSM6683082,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535614,SAMN31460787,simple,9606,Homo sapiens,GSM6683082,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,13DC9B588DFA28CB4B6137A5F244C509,E6F6BB20BAD08E7C1421EC885D427B7A,"HCT116, extracted nuclei, cell 055",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 055",GPL28038,DNBSEQ-G400
482,SRR22047524,12/31/22 0:27,10/26/22 17:11,2137003,422812369,2137003,197,271,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047524/SRR22047524.lite.1,SRX18028517,GSM6683083,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535615,SAMN31460786,simple,9606,Homo sapiens,GSM6683083,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,9D3D2C6313876863414219796581AB20,3378004EB234EA00DF0667C6B496D00E,"HCT116, extracted nuclei, cell 056",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 056",GPL28038,DNBSEQ-G400
483,SRR22047523,12/31/22 0:27,10/26/22 17:11,644856,127585845,644856,197,80,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047523/SRR22047523.lite.1,SRX18028518,GSM6683085,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535616,SAMN31460785,simple,9606,Homo sapiens,GSM6683085,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,DCEC8DC84B4736702921BFB61E37CEAA,AD118B6E9BFB0209E3893E75FE7A11B6,"HCT116, extracted nuclei, cell 057",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 057",GPL28038,DNBSEQ-G400
