,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
53,SRR16195107,GSM5609430,RNA-Seq,cDNA,GSM5609430,Smart-HCT-06,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 006,GPL18573,Illumina NextSeq 500
54,SRR16195106,GSM5609431,RNA-Seq,cDNA,GSM5609431,Smart-HCT-07,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 007,GPL18573,Illumina NextSeq 500
55,SRR16195105,GSM5609432,RNA-Seq,cDNA,GSM5609432,Smart-HCT-08,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 008,GPL18573,Illumina NextSeq 500
56,SRR16195104,GSM5609433,RNA-Seq,cDNA,GSM5609433,Smart-HCT-09,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 009,GPL18573,Illumina NextSeq 500
57,SRR16195103,GSM5609434,RNA-Seq,cDNA,GSM5609434,Smart-HCT-10,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 010,GPL18573,Illumina NextSeq 500
58,SRR16195102,GSM5609435,RNA-Seq,cDNA,GSM5609435,Smart-HCT-11,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 011,GPL18573,Illumina NextSeq 500
59,SRR16195101,GSM5609436,RNA-Seq,cDNA,GSM5609436,Smart-HCT-12,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 012,GPL18573,Illumina NextSeq 500
60,SRR16195100,GSM5609437,RNA-Seq,cDNA,GSM5609437,Smart-HCT-13,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 013,GPL18573,Illumina NextSeq 500
61,SRR16195099,GSM5609438,RNA-Seq,cDNA,GSM5609438,Smart-HCT-14,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 014,GPL18573,Illumina NextSeq 500
62,SRR16195098,GSM5609439,RNA-Seq,cDNA,GSM5609439,Smart-HCT-15,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 015,GPL18573,Illumina NextSeq 500
63,SRR16195097,GSM5609440,RNA-Seq,cDNA,GSM5609440,Smart-HCT-16,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 016,GPL18573,Illumina NextSeq 500
64,SRR16195096,GSM5609441,RNA-Seq,cDNA,GSM5609441,Smart-HCT-17,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 017,GPL18573,Illumina NextSeq 500
65,SRR16195094,GSM5609443,RNA-Seq,cDNA,GSM5609443,Smart-HCT-19,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 019,GPL18573,Illumina NextSeq 500
66,SRR16195095,GSM5609442,RNA-Seq,cDNA,GSM5609442,Smart-HCT-18,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 018,GPL18573,Illumina NextSeq 500
